,Year,Player,Club,Goals,Appearances,0
0,,,,,,1992/93
1,,,,,, Franck Sauzée 
2,,,,,,Olympique de Marseille
3,,,,,, 5 goals 
4,,,,,,7 appearances
5,,,,,,1993/94
6,,,,,, Hristo Stoichkov 
7,,,,,,FC Barcelona
8,,,,,, 5 goals 
9,,,,,,6 appearances
10,,,,,,1994/95
11,,,,,, George Weah 
12,,,,,,Paris Saint-Germain
13,,,,,, 7 goals 
14,,,,,,10 appearances
15,,,,,,1995/96
16,,,,,, Jari Litmanen 
17,,,,,,AFC Ajax
18,,,,,, 		 9 goals 
19,,,,,,10 appearances
20,,,,,,1996/97
21,,,,,, Milinko Pantić 
22,,,,,,Club Atlético de Madrid
23,,,,,, 5 goals 
24,,,,,,8 appearances
25,,,,,,1997/98
26,,,,,, Alessandro Del Piero 
27,,,,,,Juventus
28,,,,,, 10 goals 
29,,,,,,10 appearances
30,,,,,,1998/99
31,,,,,, Andriy Shevchenko 
32,,,,,,FC Dynamo Kyiv
33,,,,,, 8 goals 
34,,,,,,10 appearances
35,,,,,,1998/99
36,,,,,, Dwight Yorke 
37,,,,,,Manchester United FC
38,,,,,, 8 goals 
39,,,,,,11 appearances
40,,,,,,1999/00
41,,,,,, Mário Jardel 
42,,,,,,FC Porto
43,,,,,, 		 10 goals 
44,,,,,,13 appearances
45,,,,,,1999/00
46,,,,,, Rivaldo 
47,,,,,,FC Barcelona
48,,,,,, 		 10 goals 
49,,,,,,14 appearances
50,,,,,,1999/00
51,,,,,, Raúl González 
52,,,,,,Real Madrid CF
53,,,,,, 10 goals 
54,,,,,,15 appearances
55,,,,,,2000/01
56,,,,,, Raúl González 
57,,,,,,Real Madrid CF
58,,,,,, 7 goals 
59,,,,,,12 appearances
60,,,,,,2001/02
61,,,,,, Ruud van Nistelrooy 
62,,,,,,Manchester United FC
63,,,,,, 10 goals 
64,,,,,,14 appearances
65,,,,,,2002/03
66,,,,,, Ruud van Nistelrooy 
67,,,,,,Manchester United FC
68,,,,,, 12 goals 
69,,,,,,9 appearances
70,,,,,,2003/04
71,,,,,, Fernando Morientes 
72,,,,,,AS Monaco FC
73,,,,,, 9 goals 
74,,,,,,12 appearances
75,,,,,,2004/05
76,,,,,, Ruud van Nistelrooy 
77,,,,,,Manchester United FC
78,,,,,, 8 goals 
79,,,,,,7 appearances
80,,,,,,2005/06
81,,,,,, Andriy Shevchenko 
82,,,,,,AC Milan
83,,,,,, 9 goals 
84,,,,,,12 appearances
85,,,,,,2006/07
86,,,,,, Kaká 
87,,,,,,AC Milan
88,,,,,, 		 10 goals 
89,,,,,,13 appearances
90,,,,,,2007/08
91,,,,,, Cristiano Ronaldo 
92,,,,,,Manchester United FC
93,,,,,, 8 goals 
94,,,,,,11 appearances
95,,,,,,2008/09
96,,,,,, Lionel Messi 
97,,,,,,FC Barcelona
98,,,,,, 		 9 goals 
99,,,,,,12 appearances
100,,,,,,2009/10
101,,,,,, Lionel Messi 
102,,,,,,FC Barcelona
103,,,,,, 		 8 goals 
104,,,,,,11 appearances
105,,,,,,2010/11
106,,,,,, Lionel Messi 
107,,,,,,FC Barcelona
108,,,,,, 		 12 goals 
109,,,,,,13 appearances
110,,,,,,2011/12
111,,,,,, Lionel Messi 
112,,,,,,FC Barcelona
113,,,,,, 		 14 goals 
114,,,,,,11 appearances
115,,,,,,2012/13
116,,,,,, Cristiano Ronaldo 
117,,,,,,Real Madrid CF
118,,,,,, 12 goals 
119,,,,,,12 appearances
120,,,,,,2013/14
121,,,,,, Cristiano Ronaldo 
122,,,,,,Real Madrid CF
123,,,,,, 17 goals 
124,,,,,,11 appearances
125,,,,,,2014/15
126,,,,,, Cristiano Ronaldo 
127,,,,,,Real Madrid CF
128,,,,,, 10 goals 
129,,,,,,12 appearances
130,,,,,,2014/15
131,,,,,, Neymar 
132,,,,,,FC Barcelona		 10 goals (12 appearances
133,,,,,,"
"
134,,,,,,
135,,,,,,2014/15
136,,,,,, Lionel Messi 
137,,,,,,FC Barcelona
138,,,,,,		 10 goals 
139,,,,,,13 appearances
140,,,,,,2015/16
141,,,,,, Cristiano Ronaldo 
142,,,,,,Real Madrid CF
143,,,,,, 16 goals 
144,,,,,,12 appearances
145,,,,,,2016/17
146,,,,,, Cristiano Ronaldo 
147,,,,,,Real Madrid CF
148,,,,,, 12 goals 
149,,,,,,13 appearances
150,,,,,,2017/18
151,,,,,, Cristiano Ronaldo 
152,,,,,,Real Madrid CF
153,,,,,, 15 goals 
154,,,,,,13 appearances
155,,,,,,2018/19
156,,,,,, Lionel Messi 
157,,,,,,FC Barcelona
158,,,,,,		 12 goals 
159,,,,,,10 appearances
160,,,,,,2019/20
161,,,,,, Robert Lewandowski 
162,,,,,,FC Bayern München
163,,,,,, 15 goals 
164,,,,,,10 appearances
165,,,,,,2020/21
166,,,,,, Erling Haaland 
167,,,,,,Borussia Dortmund
168,,,,,, 10 goals 
169,,,,,,8 appearances
170,,,,,,2021/22
171,,,,,, Karim Benzema 
172,,,,,,Real Madrid CF
173,,,,,, 15 goals 
174,,,,,,12 appearances
175,,,,,,2022/23
176,,,,,, Erling Haaland 
177,,,,,,Manchester City FC
178,,,,,, 12 goals 
179,,,,,,11 appearance
